csu_id,trap_id,year,week,trap_date,county,method,spp,total,test_code,cq,copies_WNV,seq,zone,lat,long
CSU18658,FC-038,2022,34,8/22/2022,LC,L,Pipiens,12,0,37.75502,,0,NE,40.59911,-105.00623
CSU17410,FC-093,2022,25,6/23/2022,LC,L,Tarsalis,4,0,37.73057,,0,SW,40.53186,-105.08825
CSU18201,FC-067,2022,31,8/1/2022,LC,L,Tarsalis,30,0,37.69301,,0,NE,40.57881,-105.05592
CSU18922,FC-004,2022,35,8/31/2022,LC,L,Pipiens,12,0,37.64334,,0,SE,40.53486,-105.03733
CSU21373,FC-001,2023,33,8/17/2023,LC,L,Tarsalis,18,1,37.64121,,0,SW,40.49087,-105.08257
CSU18545,LV-089,2022,33,8/16/2022,LC,L,Tarsalis,12,0,37.61276,,0,LV,40.400251,-105.042395
CSU17363,FC-014,2022,25,6/20/2022,LC,L,Tarsalis,8,0,37.57314,,0,NE,40.56359,-105.006562
CSU18730,LV-089,2022,34,8/23/2022,LC,L,Tarsalis,50,0,37.51912,,0,LV,40.400251,-105.042395
CSU18745,FC-027,2022,34,8/23/2022,LC,L,Tarsalis,6,0,37.50928,,0,SE,40.54651,-105.03359
CSU17909,FC-074,2022,29,7/19/2022,LC,L,Tarsalis,50,0,37.48384,,0,SE,40.51432,-105.00249
CSU18105,FC-046,2022,30,7/26/2022,LC,L,Tarsalis,11,0,37.48384,,0,SE,40.52983,-105.06484
CSU21010,FC-039,2023,31,7/31/2023,LC,L,Tarsalis,50,1,37.28727,,0,SE,40.48081,-105.03934
CSU21010,FC-039,2023,31,7/31/2023,LC,L,Tarsalis,50,0,37.28727,,0,SE,40.48081,-105.03934
CSU21019,FC-027,2023,31,7/31/2023,LC,L,Tarsalis,26,0,37.28371,,0,SE,40.54651,-105.03359
CSU17778,FC-011,2022,28,7/13/2022,LC,L,Pipiens,4,0,37.0401,,0,NW,40.56948,-105.13603
CSU21132,FC-037,2023,31,8/3/2023,LC,L,Tarsalis,5,1,36.95082,,0,SW,40.51668,-105.09808
CSU20669,FC-063,2023,29,7/19/2023,LC,L,Tarsalis,32,1,36.87,,0,NW,40.56568,-105.10485
CSU21620,FC-062,2023,35,8/31/2023,LC,L,Pipiens,1,1,36.66182,,0,SW,40.54278,-105.08741
CSU17765,FC-060,2022,28,7/13/2022,LC,L,Pipiens,2,0,36.61093,,0,SW,40.5487,-105.12019
CSU18426,LC-054,2022,32,8/10/2022,LC,L,Tarsalis,50,0,36.54634,,0,BE,40.343955,-105.102766
CSU21389,FC-037,2023,33,8/17/2023,LC,L,Tarsalis,50,1,36.35232,,0,SW,40.51668,-105.09808
CSU18396,FC-004,2022,32,8/9/2022,LC,L,Pipiens,50,0,36.01757,,0,SE,40.53486,-105.03733
CSU17755,LC-053,2022,28,7/13/2022,LC,L,Tarsalis,38,0,35.70725,,0,BE,40.320553,-105.094569
CSU19708,LV-104,2023,27,7/3/2023,LC,L,Tarsalis,50,1,35.65209,,0,LV,40.396854,-105.020915
CSU18411,FC-046,2022,32,8/9/2022,LC,L,Pipiens,9,0,35.61642,,0,SE,40.52983,-105.06484
CSU18126,LV-020,2022,30,7/27/2022,LC,L,Tarsalis,50,0,35.58785,,0,LV,40.373964,-105.11349
CSU18077,FC-075,2022,30,7/26/2022,LC,L,Pipiens,12,0,35.48718,,0,SE,40.51138,-105.01987
CSU18117,FC-041,2022,30,7/27/2022,LC,L,Pipiens,8,0,35.42271,,0,NW,40.58794,-105.10486
CSU21493,FC-011,2023,34,8/23/2023,LC,L,Tarsalis,1,1,35.40343,,0,NW,40.56948,-105.13603
CSU18124,LC-001,2022,30,7/27/2022,LC,L,Tarsalis,31,0,35.3906,,0,BE,40.302587,-105.084057
CSU20426,FC-019,2023,29,7/17/2023,LC,L,Pipiens,6,1,35.301,,0,NE,40.565586,-105.05203
CSU18322,FC-057,2022,31,8/4/2022,LC,L,Tarsalis,19,0,35.18658,,0,SW,40.48439,-105.10524
CSU18394,FC-004,2022,32,8/9/2022,LC,L,Tarsalis,50,0,35.1854,,0,SE,40.53486,-105.03733
CSU20490,FC-053,2023,29,7/18/2023,LC,L,Tarsalis,50,1,35.12,,0,SE,40.49942,-105.01183
CSU20948,FC-049,2023,30,7/26/2023,LC,L,Tarsalis,50,1,35.08647,,0,NW,40.57324,-105.13949
CSU21041,FC-031,2023,31,7/31/2023,LC,L,Tarsalis,50,1,35.0313,,0,SE,40.50609,-105.03942
CSU20443,FC-014,2023,29,7/17/2023,LC,L,Tarsalis,50,1,35.02,,0,NE,40.56359,-105.006562
CSU20712,FC-001,2023,29,7/20/2023,LC,L,Pipiens,15,1,35,,0,SW,40.49087,-105.08257
CSU20493,FC-053,2023,29,7/18/2023,LC,L,Tarsalis,50,1,34.99,,0,SE,40.49942,-105.01183
CSU20425,FC-019,2023,29,7/17/2023,LC,L,Pipiens,50,1,34.99,,0,NE,40.565586,-105.05203
CSU18458,FC-001,2022,32,8/11/2022,LC,L,Tarsalis,50,0,34.93022,,0,SW,40.49087,-105.08257
CSU20508,FC-075,2023,29,7/18/2023,LC,L,Pipiens,6,1,34.9,,0,SE,40.51138,-105.01987
CSU20263,FC-061,2023,28,7/12/2023,LC,L,Pipiens,50,1,34.85241,,0,NW,40.5688,-105.09165
CSU19030,FC-074,2022,36,9/8/2022,LC,L,Pipiens,18,1,34.84133,,0,SE,40.51432,-105.00249
CSU20479,FC-064,2023,29,7/18/2023,LC,L,Tarsalis,50,1,34.73,,0,SE,40.49868,-105.0298
CSU17802,FC-029,2022,28,7/14/2022,LC,L,Pipiens,4,0,34.70304,,0,SE,40.51011,-105.06935
CSU20435,FC-066,2023,29,7/17/2023,LC,L,Pipiens,40,1,34.62,,0,NE,40.55873,-105.02318
CSU18134,FC-063,2022,30,7/27/2022,LC,L,Tarsalis,18,0,34.56562,,0,NW,40.56568,-105.10485
CSU17799,FC-029,2022,28,7/14/2022,LC,L,Tarsalis,50,0,34.44455,,0,SE,40.51011,-105.06935
CSU19758,LV-095,2023,27,7/3/2023,LC,L,Tarsalis,50,1,34.38247,,0,LV,40.444118,-105.022166
CSU18402,FC-027,2022,32,8/9/2022,LC,L,Pipiens,25,0,34.24807,,0,SE,40.54651,-105.03359
CSU20728,FC-071,2023,29,7/20/2023,LC,L,Tarsalis,27,1,34.13,,0,SW,40.52733,-105.10821
CSU17801,FC-029,2022,28,7/14/2022,LC,L,Tarsalis,24,0,33.95403,,0,SE,40.51011,-105.06935
CSU20458,FC-014,2023,29,7/17/2023,LC,L,Tarsalis,50,1,33.91,,0,NE,40.56359,-105.006562
CSU20201,WC-055,2023,28,7/12/2023,LC,L,Tarsalis,50,1,33.89494,,0,BE,40.28918345,-104.9915449
CSU20451,FC-014,2023,29,7/17/2023,LC,L,Tarsalis,50,1,33.87,,0,NE,40.56359,-105.006562
CSU21197,LC-054,2023,32,8/9/2023,LC,L,Tarsalis,50,1,33.787,,0,BE,40.343955,-105.102766
CSU21012,FC-039,2023,31,7/31/2023,LC,L,Tarsalis,50,1,33.76834,,0,SE,40.48081,-105.03934
CSU18392,FC-053,2022,32,8/9/2022,LC,L,Tarsalis,50,0,33.75342,,0,SE,40.49942,-105.01183
CSU17800,FC-029,2022,28,7/14/2022,LC,L,Tarsalis,50,0,33.3776,,0,SE,40.51011,-105.06935
CSU18921,FC-004,2022,35,8/31/2022,LC,L,Pipiens,50,1,33.28368,,0,SE,40.53486,-105.03733
CSU20764,FC-037,2023,29,7/20/2023,LC,L,Tarsalis,23,1,33.24,,0,SW,40.51668,-105.09808
CSU18136,LC-053,2022,30,7/27/2022,LC,L,Tarsalis,48,0,33.15916,,0,BE,40.320553,-105.094569
CSU17803,FC-093,2022,28,7/14/2022,LC,L,Tarsalis,50,0,33.10022,,0,SW,40.53186,-105.08825
CSU18422,LC-001,2022,32,8/10/2022,LC,L,Tarsalis,32,0,33.06223,,0,BE,40.302587,-105.084057
CSU18267,FC-046,2022,31,8/2/2022,LC,L,Pipiens,15,1,32.99867,,0,SE,40.52983,-105.06484
CSU17428,FC-006,2022,26,6/27/2022,LC,L,Pipiens,1,0,32.96553,,0,NE,40.592328,-105.066295
CSU20710,FC-001,2023,29,7/20/2023,LC,L,Tarsalis,50,1,32.83,,0,SW,40.49087,-105.08257
CSU21557,FC-014,2023,35,8/28/2023,LC,L,Pipiens,22,1,32.80412,,0,NE,40.56359,-105.006562
CSU18119,FC-061,2022,30,7/27/2022,LC,L,Pipiens,6,0,32.69178,,0,NW,40.5688,-105.09165
CSU17473,FC-073,2022,26,6/29/2022,LC,L,Tarsalis,8,0,32.48864,,0,NW,40.58605,-105.08889
CSU20485,FC-064,2023,29,7/18/2023,LC,L,Tarsalis,50,1,32.43,,0,SE,40.49868,-105.0298
CSU21374,FC-001,2023,33,8/17/2023,LC,L,Pipiens,10,1,32.37275,,0,SW,40.49087,-105.08257
CSU21405,FC-075,2023,34,8/21/2023,LC,L,Pipiens,8,1,32.20164,,0,SE,40.51138,-105.01987
CSU17786,FC-015,2022,28,7/13/2022,LC,L,Tarsalis,14,0,31.98842,,0,NW,40.5598,-105.12409
CSU17805,FC-093,2022,28,7/14/2022,LC,L,Pipiens,2,0,31.93141,,0,SW,40.53186,-105.08825
CSU18109,FC-031,2022,30,7/26/2022,LC,L,Pipiens,5,0,31.66633,,0,SE,40.50609,-105.03942
CSU20073,FC-064,2023,28,7/11/2023,LC,L,Tarsalis,50,1,31.48702,,0,SE,40.49868,-105.0298
CSU20928,FC-037,2023,30,7/26/2023,LC,L,Tarsalis,50,1,31.38619,,0,SW,40.51668,-105.09808
CSU21337,FC-039,2023,33,8/15/2023,LC,L,Pipiens,18,1,31.30705,,0,SE,40.48081,-105.03934
CSU20089,FC-039,2023,28,7/11/2023,LC,L,Tarsalis,50,1,31.30484,,0,SE,40.48081,-105.03934
CSU20483,FC-064,2023,29,7/18/2023,LC,L,Tarsalis,50,1,31.26,,0,SE,40.49868,-105.0298
CSU21109,FC-041,2023,31,8/2/2023,LC,L,Pipiens,7,1,31.07917,,0,NW,40.58794,-105.10486
CSU21283,FC-069,2023,33,8/14/2023,LC,L,Pipiens,4,1,30.58875,,0,NE,40.61438,-105.0527
CSU21315,LV-089,2023,33,8/15/2023,LC,L,Tarsalis,50,1,30.57478,,0,LV,40.400251,-105.042395
CSU18825,FC-089GR,2022,34,8/25/2022,LC,L,Pipiens,50,1,30.13132,,0,SW,40.53631,-105.10056
CSU19558,FC-064,2023,26,6/27/2023,LC,L,Tarsalis,50,1,30.12445,,0,SE,40.49868,-105.0298
CSU19819,LC-001,2023,27,7/4/2023,LC,L,Pipiens,4,1,29.85014,,0,BE,40.302587,-105.084057
CSU21199,LC-054,2023,32,8/9/2023,LC,L,Tarsalis,24,1,29.805,,0,BE,40.343955,-105.102766
CSU21615,LC-053,2023,35,8/30/2023,LC,L,Tarsalis,27,1,29.66242,,0,BE,40.320553,-105.094569
CSU20703,FC-011,2023,29,7/19/2023,LC,L,Tarsalis,50,1,29.15,,0,NW,40.56948,-105.13603
CSU20879,FC-053,2023,30,7/25/2023,LC,L,Tarsalis,50,1,29.09342,,0,SE,40.49942,-105.01183
CSU20559,FC-039,2023,29,7/18/2023,LC,L,Tarsalis,50,1,29.02,,0,SE,40.48081,-105.03934
CSU18123,LC-054,2022,30,7/27/2022,LC,L,Pipiens,2,1,28.93056,,0,BE,40.343955,-105.102766
CSU18896,LV-020,2022,35,8/31/2022,LC,L,Tarsalis,50,1,28.9238,,0,LV,40.373964,-105.11349
CSU21490,WC-055,2023,34,8/23/2023,LC,L,Tarsalis,50,1,28.894,,0,BE,40.28918345,-104.9915449
CSU17808,FC-071,2022,28,7/14/2022,LC,L,Pipiens,1,1,28.70375,,0,SW,40.52733,-105.10821
CSU20931,LV-020,2023,30,7/26/2023,LC,L,Tarsalis,50,1,28.51576,,0,LV,40.373964,-105.11349
CSU18067,LV-089,2022,30,7/26/2022,LC,L,Tarsalis,21,1,28.5007,,0,LV,40.400251,-105.042395
CSU20887,FC-004,2023,30,7/25/2023,LC,L,Tarsalis,50,1,28.23706,,0,SE,40.53486,-105.03733
CSU18869,FC-040,2022,35,8/30/2022,LC,L,Pipiens,8,0,28.10587,,0,NE,40.60326,-105.06554
CSU18959,FC-049,2022,35,9/1/2022,LC,L,Tarsalis,10,1,27.98273,,0,NW,40.57324,-105.13949
CSU21203,LV-020,2023,32,8/9/2023,LC,L,Tarsalis,50,1,27.909,,0,LV,40.373964,-105.11349
CSU18596,FC-041,2022,33,8/17/2022,LC,L,Tarsalis,31,1,27.8858,,0,NW,40.58794,-105.10486
CSU20846,FC-066,2023,30,7/24/2023,LC,L,Tarsalis,50,1,27.85166,,0,NE,40.55873,-105.02318
CSU21138,LV-095,2023,32,8/7/2023,LC,L,Tarsalis,50,1,27.718,,0,LV,40.444118,-105.022166
CSU18803,FC-001,2022,34,8/25/2022,LC,L,Tarsalis,41,1,27.7033,,0,SW,40.49087,-105.08257
CSU21014,FC-039,2023,31,7/31/2023,LC,L,Tarsalis,29,1,27.65651,,0,SE,40.48081,-105.03934
CSU17709,FC-064,2022,28,7/12/2022,LC,L,Tarsalis,40,1,27.64229,,0,SE,40.49868,-105.0298
CSU18718,LV-104,2022,34,8/23/2022,LC,L,Pipiens,50,1,27.41744,,0,LV,40.396854,-105.020915
CSU17741,FC-059,2022,28,7/12/2022,LC,L,Tarsalis,23,0,27.41726,,0,SE,40.5426,-105.04604
CSU19913,FC-059,2023,27,7/4/2023,LC,L,Tarsalis,9,1,27.20814,,0,SE,40.5426,-105.04604
CSU20117,FC-059,2023,28,7/11/2023,LC,L,Tarsalis,50,1,27.19552,,0,SE,40.5426,-105.04604
CSU20202,WC-055,2023,28,7/12/2023,LC,L,Tarsalis,50,1,27.18269,,0,BE,40.28918345,-104.9915449
CSU19124,FC-006,2022,37,9/14/2022,LC,L,Pipiens,8,1,27.12459,,0,NE,40.592328,-105.066295
CSU18925,FC-027,2022,35,8/31/2022,LC,L,Pipiens,45,1,27.02983,,0,SE,40.54651,-105.03359
CSU20941,LC-001,2023,30,7/26/2023,LC,L,Tarsalis,50,1,27.02298,,0,BE,40.302587,-105.084057
CSU21223,FC-053,2023,32,8/9/2023,LC,L,Tarsalis,50,1,26.936,,0,SE,40.49942,-105.01183
CSU21445,LV-089,2023,34,8/22/2023,LC,L,Pipiens,26,1,26.9329,,0,LV,40.400251,-105.042395
CSU21277,LV-095,2023,33,8/14/2023,LC,L,Pipiens,50,1,26.81212,,0,LV,40.444118,-105.022166
CSU18104,FC-046,2022,30,7/26/2022,LC,L,Tarsalis,50,1,26.7723,,0,SE,40.52983,-105.06484
CSU18167,LV-095,2022,31,8/1/2022,LC,L,Tarsalis,50,1,26.73317,,0,LV,40.444118,-105.022166
CSU18832,FC-001,2022,35,8/29/2022,LC,L,Pipiens,44,1,26.71008,,0,SW,40.49087,-105.08257
CSU18522,FC-019,2022,33,8/15/2022,LC,L,Tarsalis,49,1,26.66755,,0,NE,40.565586,-105.05203
CSU18914,FC-074,2022,35,8/31/2022,LC,L,Tarsalis,50,1,26.49458,,0,SE,40.51432,-105.00249
CSU21352,LV-020,2023,33,8/16/2023,LC,L,Tarsalis,50,1,26.40086,,0,LV,40.373964,-105.11349
CSU20170,FC-031,2023,28,7/11/2023,LC,L,Tarsalis,42,1,26.32418,,0,SE,40.50609,-105.03942
CSU21257,FC-060,2023,32,8/10/2023,LC,L,Pipiens,7,1,26.195,,0,SW,40.5487,-105.12019
CSU18529,FC-014,2022,33,8/15/2022,LC,L,Tarsalis,50,1,26.07129,,0,NE,40.56359,-105.006562
CSU20059,LV-089,2023,28,7/11/2023,LC,L,Tarsalis,50,1,26.06531,,0,LV,40.400251,-105.042395
CSU21139,LV-095,2023,32,8/7/2023,LC,L,Tarsalis,50,1,25.965,,0,LV,40.444118,-105.022166
CSU17743,FC-031,2022,28,7/12/2022,LC,L,Tarsalis,50,1,25.92873,,0,SE,40.50609,-105.03942
CSU20724,FC-054,2023,29,7/20/2023,LC,L,Pipiens,3,1,25.78,,0,SE,40.49998,-105.0632
CSU21334,FC-064,2023,33,8/15/2023,LC,L,Tarsalis,7,1,25.76363,,0,SE,40.49868,-105.0298
CSU21364,FC-011,2023,33,8/16/2023,LC,L,Pipiens,11,1,25.67318,,0,NW,40.56948,-105.13603
CSU18771,LV-020,2022,34,8/24/2022,LC,L,Tarsalis,31,1,25.62326,,0,LV,40.373964,-105.11349
CSU20863,LV-089,2023,30,7/25/2023,LC,L,Tarsalis,50,1,25.59636,,0,LV,40.400251,-105.042395
CSU20357,FC-038,2023,29,7/17/2023,LC,L,Tarsalis,50,1,25.52,,0,NE,40.59911,-105.00623
CSU21588,FC-047,2023,35,8/29/2023,LC,L,Pipiens,3,1,25.47334,,0,SE,40.51551,-105.05292
CSU18055,FC-014,2022,30,7/25/2022,LC,L,Pipiens,50,1,25.38768,,0,NE,40.56359,-105.006562
CSU21454,FC-072,2023,34,8/22/2023,LC,L,Pipiens,1,1,25.36768,,0,NE,40.56953,-105.07117
CSU19890,FC-039,2023,27,7/4/2023,LC,L,Tarsalis,50,1,25.28338,,0,SE,40.48081,-105.03934
CSU18686,FC-066,2022,34,8/22/2022,LC,L,Tarsalis,13,1,25.20706,,0,NE,40.55873,-105.02318
CSU18932,FC-050,2022,35,8/31/2022,LC,L,Pipiens,50,1,25.19796,,0,SE,40.52954,-105.05033
CSU21146,FC-069,2023,32,8/7/2023,LC,L,Tarsalis,18,1,25.168,,0,NE,40.61438,-105.0527
CSU18584,FC-050,2022,33,8/16/2022,LC,L,Pipiens,50,1,25.11468,,0,SE,40.52954,-105.05033
CSU20190,FC-046,2023,28,7/11/2023,LC,L,Tarsalis,50,1,25.08589,,0,SE,40.52983,-105.06484
CSU21291,FC-040,2023,33,8/14/2023,LC,L,Tarsalis,25,1,24.93942,,0,NE,40.60326,-105.06554
CSU20296,FC-093,2023,28,7/13/2023,LC,L,Tarsalis,50,1,24.76113,,0,SW,40.53186,-105.08825
CSU21365,FC-041,2023,33,8/16/2023,LC,L,Tarsalis,29,1,24.69083,,0,NW,40.58794,-105.10486
CSU21000,FC-053,2023,31,7/31/2023,LC,L,Tarsalis,50,1,24.56575,,0,SE,40.49942,-105.01183
CSU20022,FC-072,2023,28,7/10/2023,LC,L,Tarsalis,50,1,24.43436,,0,NE,40.56953,-105.07117
CSU21533,LV-095,2023,35,8/28/2023,LC,L,Tarsalis,50,1,24.4195,,0,LV,40.444118,-105.022166
CSU20767,LV-069,2023,30,7/24/2023,LC,L,Tarsalis,40,1,24.25507,,0,LV,40.428924,-105.058221
CSU20561,FC-039,2023,29,7/18/2023,LC,L,Tarsalis,50,1,24.25,,0,SE,40.48081,-105.03934
CSU21413,FC-047,2023,34,8/21/2023,LC,L,Pipiens,3,1,24.22099,,0,SE,40.51551,-105.05292
CSU19142,FC-066,2022,37,9/14/2022,LC,L,Pipiens,50,1,24.19533,,0,NE,40.55873,-105.02318
CSU20400,FC-072,2023,29,7/17/2023,LC,L,Tarsalis,50,1,24.17,,0,NE,40.56953,-105.07117
CSU20124,FC-004,2023,28,7/11/2023,LC,L,Tarsalis,50,1,24.1488,,0,SE,40.53486,-105.03733
CSU17887,FC-053,2022,29,7/19/2022,LC,L,Tarsalis,50,1,24.08775,,0,SE,40.49942,-105.01183
CSU18971,LV-020,2022,36,9/7/2022,LC,L,Tarsalis,35,1,24.08738,,0,LV,40.373964,-105.11349
CSU20932,LV-020,2023,30,7/26/2023,LC,L,Tarsalis,50,1,24.06004,,0,LV,40.373964,-105.11349
CSU20361,FC-038,2023,29,7/17/2023,LC,L,Tarsalis,42,1,24.03,,0,NE,40.59911,-105.00623
CSU20914,FC-054,2023,30,7/26/2023,LC,L,Pipiens,11,1,24.02165,,0,SE,40.49998,-105.0632
CSU21301,FC-019,2023,33,8/14/2023,LC,L,Pipiens,44,1,23.93048,,0,NE,40.565586,-105.05203
CSU18856,LV-089,2022,35,8/30/2022,LC,L,Tarsalis,25,1,23.79718,,0,LV,40.400251,-105.042395
CSU19115,FC-038,2022,37,9/14/2022,LC,L,Pipiens,30,1,23.65821,,0,NE,40.59911,-105.00623
CSU17891,FC-075,2022,29,7/19/2022,LC,L,Tarsalis,22,1,23.62772,,0,SE,40.51138,-105.01987
CSU20621,LC-001,2023,29,7/19/2023,LC,L,Tarsalis,50,1,23.48,,0,BE,40.302587,-105.084057
CSU18484,LV-069,2022,33,8/15/2022,LC,L,Tarsalis,18,1,23.34822,,0,LV,40.428924,-105.058221
CSU21107,FC-011,2023,31,8/2/2023,LC,L,Pipiens,2,1,23.3479,,0,NW,40.56948,-105.13603
CSU21013,FC-039,2023,31,7/31/2023,LC,L,Tarsalis,50,1,23.31713,,0,SE,40.48081,-105.03934
CSU21422,FC-031,2023,34,8/21/2023,LC,L,Pipiens,28,1,23.31444,,0,SE,40.50609,-105.03942
CSU20922,FC-037,2023,30,7/26/2023,LC,L,Tarsalis,50,1,23.28986,,0,SW,40.51668,-105.09808
CSU20355,FC-038,2023,29,7/17/2023,LC,L,Tarsalis,50,1,23.28,,0,NE,40.59911,-105.00623
CSU17875,LV-089,2022,29,7/19/2022,LC,L,Tarsalis,50,1,23.194,,0,LV,40.400251,-105.042395
CSU21205,LC-053,2023,32,8/9/2023,LC,L,Tarsalis,50,1,23.051,,0,BE,40.320553,-105.094569
CSU21020,FC-023,2023,31,7/31/2023,LC,L,Tarsalis,50,0,22.90296,,0,SE,40.54466,-105.0641
CSU21481,LC-049,2023,34,8/23/2023,LC,L,Tarsalis,33,1,22.8377,,0,BE,40.312995,-105.078728
CSU18128,LV-020,2022,30,7/27/2022,LC,L,Tarsalis,50,1,22.74403,,0,LV,40.373964,-105.11349
CSU20866,LV-104,2023,30,7/25/2023,LC,L,Tarsalis,50,1,22.6178,,0,LV,40.396854,-105.020915
CSU20980,FC-052,2023,30,7/27/2023,LC,L,Tarsalis,50,1,22.61516,,0,NW,40.56163,-105.08703
CSU21292,FC-040,2023,33,8/14/2023,LC,L,Pipiens,50,1,22.60108,,0,NE,40.60326,-105.06554
CSU17884,FC-064,2022,29,7/19/2022,LC,L,Tarsalis,50,1,22.51056,,0,SE,40.49868,-105.0298
CSU18231,LV-104,2022,31,8/2/2022,LC,L,Pipiens,27,1,22.47931,,0,LV,40.396854,-105.020915
CSU18391,FC-075,2022,32,8/9/2022,LC,L,Pipiens,30,0,22.47931,,0,SE,40.51138,-105.01987
CSU20991,LV-095,2023,31,7/31/2023,LC,L,Tarsalis,50,1,22.47865,,0,LV,40.444118,-105.022166
CSU20828,FC-014,2023,30,7/24/2023,LC,L,Tarsalis,50,1,22.39135,,0,NE,40.56359,-105.006562
CSU20094,FC-039,2023,28,7/11/2023,LC,L,Tarsalis,50,1,22.36346,,0,SE,40.48081,-105.03934
CSU17986,FC-054,2022,29,7/21/2022,LC,L,Tarsalis,50,1,22.35035,,0,SE,40.49998,-105.0632
CSU18217,LV-089,2022,31,8/2/2022,LC,L,Tarsalis,50,1,22.23373,,0,LV,40.400251,-105.042395
CSU20709,FC-001,2023,29,7/20/2023,LC,L,Tarsalis,50,1,22.18,,0,SW,40.49087,-105.08257
CSU21282,FC-069,2023,33,8/14/2023,LC,L,Tarsalis,10,1,22.15735,,0,NE,40.61438,-105.0527
CSU18809,FC-054,2022,34,8/25/2022,LC,L,Pipiens,10,1,22.09105,,0,SE,40.49998,-105.0632
CSU20401,FC-072,2023,29,7/17/2023,LC,L,Tarsalis,50,1,22.09,,0,NE,40.56953,-105.07117
CSU18757,FC-059,2022,34,8/23/2022,LC,L,Pipiens,22,1,22.05174,,0,SE,40.5426,-105.04604
CSU21122,FC-029,2023,31,8/3/2023,LC,L,Pipiens,8,1,22.01912,,0,SE,40.51011,-105.06935
CSU20958,FC-093,2023,30,7/26/2023,LC,L,Tarsalis,26,1,21.96243,,0,SW,40.53186,-105.08825
CSU18509,FC-066,2022,33,8/15/2022,LC,L,Tarsalis,50,1,21.95003,,0,NE,40.55873,-105.02318
CSU20812,FC-072,2023,30,7/24/2023,LC,L,Tarsalis,47,1,21.93404,,0,NE,40.56953,-105.07117
CSU21582,FC-023,2023,35,8/29/2023,LC,L,Tarsalis,8,1,21.89851,,0,SE,40.54466,-105.0641
CSU20834,FC-014,2023,30,7/24/2023,LC,L,Tarsalis,50,1,21.89,,0,NE,40.56359,-105.006562
CSU18770,FC-061,2022,34,8/24/2022,LC,L,Pipiens,26,1,21.87237,,0,NW,40.5688,-105.09165
CSU20165,FC-031,2023,28,7/11/2023,LC,L,Tarsalis,50,1,21.81391,,0,SE,40.50609,-105.03942
CSU21317,LV-089,2023,33,8/15/2023,LC,L,Tarsalis,50,1,21.81338,,0,LV,40.400251,-105.042395
CSU18724,FC-064,2022,34,8/23/2022,LC,L,Tarsalis,16,1,21.78041,,0,SE,40.49868,-105.0298
CSU20304,FC-029,2023,28,7/13/2023,LC,L,Tarsalis,50,1,21.77254,,0,SE,40.51011,-105.06935
CSU20076,FC-064,2023,28,7/11/2023,LC,L,Tarsalis,50,1,21.72473,,0,SE,40.49868,-105.0298
CSU20352,FC-069,2023,29,7/17/2023,LC,L,Tarsalis,50,1,21.69,,0,NE,40.61438,-105.0527
CSU21466,FC-061,2023,34,8/23/2023,LC,L,Tarsalis,21,1,21.67613,,0,NW,40.5688,-105.09165
CSU18573,FC-074,2022,33,8/16/2022,LC,L,Tarsalis,50,1,21.61583,,0,SE,40.51432,-105.00249
CSU18501,FC-072,2022,33,8/15/2022,LC,L,Tarsalis,50,1,21.60274,,0,NE,40.56953,-105.07117
CSU19820,LC-049,2023,27,7/4/2023,LC,L,Tarsalis,50,1,21.49467,,0,BE,40.312995,-105.078728
CSU18657,FC-038,2022,34,8/22/2022,LC,L,Tarsalis,45,1,21.46875,,0,NE,40.59911,-105.00623
