csu_id,trap_id,year,week,trap_date,county,method,spp,total,test_code,cq,seq,zone,lat,long
CSU17266,FC-062,2022,23,6/9/2022,LC,L,Tarsalis,2,0,55.55,0,SW,40.54278,-105.08741
CSU17267,FC-093,2022,23,6/9/2022,LC,L,Tarsalis,12,0,55.55,0,SW,40.53186,-105.08825
CSU17268,FC-093,2022,23,6/9/2022,LC,L,Pipiens,1,0,55.55,0,SW,40.53186,-105.08825
CSU17270,FC-071,2022,23,6/9/2022,LC,L,Tarsalis,1,0,55.55,0,SW,40.52733,-105.10821
CSU17271,FC-037,2022,23,6/9/2022,LC,L,Tarsalis,4,0,55.55,0,SW,40.51668,-105.09808
CSU17272,FC-038,2022,24,6/13/2022,LC,L,Tarsalis,16,0,55.55,0,NE,40.59911,-105.00623
CSU17273,FC-038,2022,24,6/13/2022,LC,L,Pipiens,1,0,55.55,0,NE,40.59911,-105.00623
CSU17274,LV-069,2022,24,6/13/2022,LC,L,Tarsalis,34,0,55.55,0,LV,40.428924,-105.058221
CSU17275,LV-069,2022,24,6/13/2022,LC,L,Pipiens,2,0,55.55,0,LV,40.428924,-105.058221
CSU17276,FC-040,2022,24,6/13/2022,LC,L,Tarsalis,1,0,55.55,0,NE,40.60326,-105.06554
CSU17277,FC-034,2022,24,6/13/2022,LC,L,Tarsalis,18,0,55.55,0,NE,40.62556,-105.05009
CSU17279,FC-036,2022,24,6/13/2022,LC,L,Tarsalis,4,0,55.55,0,NW,40.600766,-105.079837
CSU17280,LV-095,2022,24,6/13/2022,LC,L,Tarsalis,15,0,55.55,0,LV,40.444118,-105.022166
CSU17281,FC-006,2022,24,6/13/2022,LC,L,Tarsalis,3,0,55.55,0,NE,40.592328,-105.066295
CSU17283,FC-069,2022,24,6/13/2022,LC,L,Tarsalis,23,0,55.55,0,NE,40.61438,-105.0527
CSU17286,FC-067,2022,24,6/13/2022,LC,L,Tarsalis,8,0,55.55,0,NE,40.57881,-105.05592
CSU17287,FC-072,2022,24,6/13/2022,LC,L,Tarsalis,2,0,55.55,0,NE,40.56953,-105.07117
CSU17290,FC-019,2022,24,6/13/2022,LC,L,Tarsalis,15,0,55.55,0,NE,40.565586,-105.05203
CSU17291,FC-019,2022,24,6/13/2022,LC,L,Pipiens,2,0,55.55,0,NE,40.565586,-105.05203
CSU17292,FC-014,2022,24,6/13/2022,LC,L,Tarsalis,9,0,55.55,0,NE,40.56359,-105.006562
CSU17293,FC-066,2022,24,6/13/2022,LC,L,Tarsalis,32,0,55.55,0,NE,40.55873,-105.02318
CSU17294,FC-066,2022,24,6/13/2022,LC,L,Pipiens,4,0,55.55,0,NE,40.55873,-105.02318
CSU17295,LV-089,2022,24,6/14/2022,LC,L,Tarsalis,8,0,55.55,0,LV,40.400251,-105.042395
CSU17297,FC-064,2022,24,6/14/2022,LC,L,Tarsalis,8,0,55.55,0,SE,40.49868,-105.0298
CSU17298,FC-074,2022,24,6/14/2022,LC,L,Tarsalis,1,0,55.55,0,SE,40.51432,-105.00249
CSU17299,FC-004,2022,24,6/14/2022,LC,L,Tarsalis,14,0,55.55,0,SE,40.53486,-105.03733
CSU17302,FC-039,2022,24,6/14/2022,LC,L,Tarsalis,6,0,55.55,0,SE,40.48081,-105.03934
CSU17303,FC-039,2022,24,6/14/2022,LC,L,Pipiens,2,0,55.55,0,SE,40.48081,-105.03934
CSU17304,FC-075,2022,24,6/14/2022,LC,L,Tarsalis,28,0,55.55,0,SE,40.51138,-105.01987
CSU17305,FC-027,2022,24,6/14/2022,LC,L,Tarsalis,5,0,55.55,0,SE,40.54651,-105.03359
CSU17306,FC-023,2022,24,6/14/2022,LC,L,Tarsalis,1,0,55.55,0,SE,40.54466,-105.0641
CSU17307,FC-050,2022,24,6/14/2022,LC,L,Tarsalis,2,0,55.55,0,SE,40.52954,-105.05033
CSU17308,FC-059,2022,24,6/14/2022,LC,L,Tarsalis,4,0,55.55,0,SE,40.5426,-105.04604
CSU17309,FC-059,2022,24,6/14/2022,LC,L,Pipiens,2,0,55.55,0,SE,40.5426,-105.04604
CSU17310,FC-031,2022,24,6/14/2022,LC,L,Tarsalis,8,0,55.55,0,SE,40.50609,-105.03942
CSU17311,LC-054,2022,24,6/15/2022,LC,L,Tarsalis,17,0,55.55,0,BE,40.343955,-105.102766
CSU17312,LC-001,2022,24,6/15/2022,LC,L,Tarsalis,12,0,55.55,0,BE,40.302587,-105.084057
CSU17313,LC-001,2022,24,6/15/2022,LC,L,Pipiens,3,0,55.55,0,BE,40.302587,-105.084057
CSU17314,WC-055,2022,24,6/15/2022,LC,L,Tarsalis,5,0,55.55,0,BE,40.28918345,-104.9915449
CSU17315,LV-020,2022,24,6/15/2022,LC,L,Tarsalis,50,0,55.55,0,LV,40.373964,-105.11349
CSU17316,LV-020,2022,24,6/15/2022,LC,L,Tarsalis,11,0,55.55,0,LV,40.373964,-105.11349
CSU17317,LV-020,2022,24,6/15/2022,LC,L,Pipiens,1,0,55.55,0,LV,40.373964,-105.11349
CSU17318,LC-049,2022,24,6/15/2022,LC,L,Tarsalis,3,0,55.55,0,BE,40.312995,-105.078728
CSU17319,LC-053,2022,24,6/15/2022,LC,L,Tarsalis,20,0,55.55,0,BE,40.320553,-105.094569
CSU17320,FC-061,2022,24,6/15/2022,LC,L,Tarsalis,8,0,55.55,0,NW,40.5688,-105.09165
CSU17321,FC-061,2022,24,6/15/2022,LC,L,Pipiens,3,0,55.55,0,NW,40.5688,-105.09165
CSU17322,FC-052,2022,24,6/15/2022,LC,L,Tarsalis,38,0,55.55,0,NW,40.56163,-105.08703
CSU17323,FC-052,2022,24,6/15/2022,LC,L,Pipiens,1,0,55.55,0,NW,40.56163,-105.08703
CSU17324,FC-073,2022,24,6/15/2022,LC,L,Tarsalis,6,0,55.55,0,NW,40.58605,-105.08889
CSU17325,FC-073,2022,24,6/15/2022,LC,L,Pipiens,8,0,55.55,0,NW,40.58605,-105.08889
CSU17326,FC-049,2022,24,6/15/2022,LC,L,Tarsalis,7,0,55.55,0,NW,40.57324,-105.13949
CSU17327,FC-049,2022,24,6/15/2022,LC,L,Pipiens,1,0,55.55,0,NW,40.57324,-105.13949
CSU17329,FC-060,2022,24,6/15/2022,LC,L,Tarsalis,1,0,55.55,0,SW,40.5487,-105.12019
CSU17330,FC-060,2022,24,6/15/2022,LC,L,Pipiens,1,0,55.55,0,SW,40.5487,-105.12019
CSU17331,FC-041,2022,24,6/15/2022,LC,L,Tarsalis,1,0,55.55,0,NW,40.58794,-105.10486
CSU17334,FC-015,2022,24,6/15/2022,LC,L,Tarsalis,2,0,55.55,0,NW,40.5598,-105.12409
CSU17335,FC-063,2022,24,6/15/2022,LC,L,Tarsalis,3,0,55.55,0,NW,40.56568,-105.10485
CSU17336,FC-001,2022,24,6/16/2022,LC,L,Tarsalis,3,0,55.55,0,SW,40.49087,-105.08257
CSU17337,FC-001,2022,24,6/16/2022,LC,L,Pipiens,2,0,55.55,0,SW,40.49087,-105.08257
CSU17338,FC-054,2022,24,6/16/2022,LC,L,Tarsalis,2,0,55.55,0,SE,40.49998,-105.0632
CSU17339,FC-029,2022,24,6/16/2022,LC,L,Tarsalis,2,0,55.55,0,SE,40.51011,-105.06935
CSU17341,FC-093,2022,24,6/16/2022,LC,L,Tarsalis,3,0,55.55,0,SW,40.53186,-105.08825
CSU17342,FC-093,2022,24,6/16/2022,LC,L,Pipiens,1,0,55.55,0,SW,40.53186,-105.08825
CSU17344,FC-071,2022,24,6/16/2022,LC,L,Tarsalis,3,0,55.55,0,SW,40.52733,-105.10821
CSU17345,FC-071,2022,24,6/16/2022,LC,L,Pipiens,1,0,55.55,0,SW,40.52733,-105.10821
CSU17346,FC-037,2022,24,6/16/2022,LC,L,Tarsalis,12,0,55.55,0,SW,40.51668,-105.09808
CSU17347,FC-057,2022,24,6/16/2022,LC,L,Tarsalis,2,0,55.55,0,SW,40.48439,-105.10524
CSU17363,FC-014,2022,25,6/20/2022,LC,L,Tarsalis,8,0,37.57314,0,NE,40.56359,-105.006562
CSU17348,LV-095,2022,25,6/20/2022,LC,L,Tarsalis,4,0,55.55,0,LV,40.444118,-105.022166
CSU17349,FC-038,2022,25,6/20/2022,LC,L,Tarsalis,10,0,55.55,0,NE,40.59911,-105.00623
CSU17350,FC-038,2022,25,6/20/2022,LC,L,Pipiens,2,0,55.55,0,NE,40.59911,-105.00623
CSU17351,FC-040,2022,25,6/20/2022,LC,L,Tarsalis,4,0,55.55,0,NE,40.60326,-105.06554
CSU17352,FC-040,2022,25,6/20/2022,LC,L,Pipiens,1,0,55.55,0,NE,40.60326,-105.06554
CSU17354,FC-069,2022,25,6/20/2022,LC,L,Tarsalis,7,0,55.55,0,NE,40.61438,-105.0527
CSU17355,FC-069,2022,25,6/20/2022,LC,L,Pipiens,1,0,55.55,0,NE,40.61438,-105.0527
CSU17356,FC-036,2022,25,6/20/2022,LC,L,Tarsalis,4,0,55.55,0,NW,40.600766,-105.079837
CSU17358,FC-034,2022,25,6/20/2022,LC,L,Tarsalis,7,0,55.55,0,NE,40.62556,-105.05009
CSU17359,FC-067,2022,25,6/20/2022,LC,L,Tarsalis,3,0,55.55,0,NE,40.57881,-105.05592
CSU17360,FC-072,2022,25,6/20/2022,LC,L,Tarsalis,16,0,55.55,0,NE,40.56953,-105.07117
CSU17361,FC-072,2022,25,6/20/2022,LC,L,Pipiens,2,0,55.55,0,NE,40.56953,-105.07117
CSU17364,FC-066,2022,25,6/20/2022,LC,L,Tarsalis,50,0,55.55,0,NE,40.55873,-105.02318
CSU17365,FC-066,2022,25,6/20/2022,LC,L,Tarsalis,47,0,55.55,0,NE,40.55873,-105.02318
CSU17366,FC-066,2022,25,6/20/2022,LC,L,Pipiens,33,0,55.55,0,NE,40.55873,-105.02318
CSU17367,FC-019,2022,25,6/20/2022,LC,L,Tarsalis,19,0,55.55,0,NE,40.565586,-105.05203
CSU17368,LV-104,2022,25,6/21/2022,LC,L,Tarsalis,50,0,55.55,0,LV,40.396854,-105.020915
CSU17369,LV-104,2022,25,6/21/2022,LC,L,Tarsalis,2,0,55.55,0,LV,40.396854,-105.020915
CSU17370,FC-047,2022,25,6/21/2022,LC,L,Tarsalis,2,0,55.55,0,SE,40.51551,-105.05292
CSU17371,FC-046,2022,25,6/21/2022,LC,L,Tarsalis,10,0,55.55,0,SE,40.52983,-105.06484
CSU17372,FC-046,2022,25,6/21/2022,LC,L,Pipiens,1,0,55.55,0,SE,40.52983,-105.06484
CSU17373,LV-110,2022,25,6/21/2022,LC,L,Tarsalis,21,0,55.55,0,LV,40.400764,-105.122681
CSU17374,FC-031,2022,25,6/21/2022,LC,L,Tarsalis,18,0,55.55,0,SE,40.50609,-105.03942
CSU17375,FC-050,2022,25,6/21/2022,LC,L,Tarsalis,4,0,55.55,0,SE,40.52954,-105.05033
CSU17376,FC-023,2022,25,6/21/2022,LC,L,Tarsalis,3,0,55.55,0,SE,40.54466,-105.0641
CSU17377,FC-039,2022,25,6/21/2022,LC,L,Tarsalis,6,0,55.55,0,SE,40.48081,-105.03934
CSU17378,FC-059,2022,25,6/21/2022,LC,L,Tarsalis,2,0,55.55,0,SE,40.5426,-105.04604
CSU17379,FC-059,2022,25,6/21/2022,LC,L,Pipiens,1,0,55.55,0,SE,40.5426,-105.04604
CSU17380,FC-064,2022,25,6/21/2022,LC,L,Tarsalis,19,0,55.55,0,SE,40.49868,-105.0298
CSU17381,FC-064,2022,25,6/21/2022,LC,L,Pipiens,1,0,55.55,0,SE,40.49868,-105.0298
CSU17382,FC-004,2022,25,6/21/2022,LC,L,Tarsalis,7,0,55.55,0,SE,40.53486,-105.03733
CSU17383,FC-004,2022,25,6/21/2022,LC,L,Pipiens,2,0,55.55,0,SE,40.53486,-105.03733
CSU17384,FC-053,2022,25,6/21/2022,LC,L,Tarsalis,7,0,55.55,0,SE,40.49942,-105.01183
CSU17385,FC-027,2022,25,6/21/2022,LC,L,Tarsalis,15,0,55.55,0,SE,40.54651,-105.03359
CSU17386,FC-027,2022,25,6/21/2022,LC,L,Pipiens,1,0,55.55,0,SE,40.54651,-105.03359
CSU17389,FC-075,2022,25,6/21/2022,LC,L,Tarsalis,33,0,55.55,0,SE,40.51138,-105.01987
CSU17390,FC-075,2022,25,6/21/2022,LC,L,Pipiens,2,0,55.55,0,SE,40.51138,-105.01987
CSU17391,FC-073,2022,25,6/22/2022,LC,L,Tarsalis,8,0,55.55,0,NW,40.58605,-105.08889
CSU17392,FC-073,2022,25,6/22/2022,LC,L,Pipiens,4,0,55.55,0,NW,40.58605,-105.08889
CSU17393,FC-041,2022,25,6/22/2022,LC,L,Tarsalis,5,0,55.55,0,NW,40.58794,-105.10486
CSU17394,FC-041,2022,25,6/22/2022,LC,L,Pipiens,1,0,55.55,0,NW,40.58794,-105.10486
CSU17395,LV-020,2022,25,6/22/2022,LC,L,Tarsalis,5,0,55.55,0,LV,40.373964,-105.11349
CSU17396,LC-001,2022,25,6/22/2022,LC,L,Tarsalis,4,0,55.55,0,BE,40.302587,-105.084057
CSU17397,LC-001,2022,25,6/22/2022,LC,L,Pipiens,1,0,55.55,0,BE,40.302587,-105.084057
CSU17398,LC-054,2022,25,6/22/2022,LC,L,Tarsalis,22,0,55.55,0,BE,40.343955,-105.102766
CSU17399,LC-049,2022,25,6/22/2022,LC,L,Tarsalis,5,0,55.55,0,BE,40.312995,-105.078728
CSU17400,LC-053,2022,25,6/22/2022,LC,L,Tarsalis,2,0,55.55,0,BE,40.320553,-105.094569
CSU17402,FC-049,2022,25,6/22/2022,LC,L,Pipiens,1,0,55.55,0,NW,40.57324,-105.13949
CSU17403,FC-011,2022,25,6/22/2022,LC,L,Pipiens,1,0,55.55,0,NW,40.56948,-105.13603
CSU17404,FC-061,2022,25,6/22/2022,LC,L,Tarsalis,1,0,55.55,0,NW,40.5688,-105.09165
CSU17410,FC-093,2022,25,6/23/2022,LC,L,Tarsalis,4,0,37.73057,0,SW,40.53186,-105.08825
CSU17405,FC-001,2022,25,6/23/2022,LC,L,Tarsalis,1,0,55.55,0,SW,40.49087,-105.08257
CSU17406,FC-054,2022,25,6/23/2022,LC,L,Tarsalis,7,0,55.55,0,SE,40.49998,-105.0632
CSU17407,FC-029,2022,25,6/23/2022,LC,L,Tarsalis,5,0,55.55,0,SE,40.51011,-105.06935
CSU17409,FC-068,2022,25,6/23/2022,LC,L,Tarsalis,1,0,55.55,0,SW,40.516,-105.08547
CSU17411,FC-093,2022,25,6/23/2022,LC,L,Pipiens,2,0,55.55,0,SW,40.53186,-105.08825
CSU17413,FC-071,2022,25,6/23/2022,LC,L,Tarsalis,2,0,55.55,0,SW,40.52733,-105.10821
CSU17414,FC-037,2022,25,6/23/2022,LC,L,Tarsalis,11,0,55.55,0,SW,40.51668,-105.09808
CSU17415,FC-057,2022,25,6/23/2022,LC,L,Tarsalis,1,0,55.55,0,SW,40.48439,-105.10524
CSU17428,FC-006,2022,26,6/27/2022,LC,L,Pipiens,1,0,32.96553,0,NE,40.592328,-105.066295
CSU17416,LV-069,2022,26,6/27/2022,LC,L,Tarsalis,4,0,55.55,0,LV,40.428924,-105.058221
CSU17417,LV-069,2022,26,6/27/2022,LC,L,Pipiens,2,0,55.55,0,LV,40.428924,-105.058221
CSU17418,LV-095,2022,26,6/27/2022,LC,L,Tarsalis,3,0,55.55,0,LV,40.444118,-105.022166
CSU17419,FC-038,2022,26,6/27/2022,LC,L,Tarsalis,4,0,55.55,0,NE,40.59911,-105.00623
CSU17420,FC-040,2022,26,6/27/2022,LC,L,Tarsalis,2,0,55.55,0,NE,40.60326,-105.06554
CSU17421,FC-069,2022,26,6/27/2022,LC,L,Tarsalis,6,0,55.55,0,NE,40.61438,-105.0527
CSU17422,FC-069,2022,26,6/27/2022,LC,L,Pipiens,1,0,55.55,0,NE,40.61438,-105.0527
CSU17424,FC-034,2022,26,6/27/2022,LC,L,Tarsalis,29,0,55.55,0,NE,40.62556,-105.05009
CSU17425,FC-034,2022,26,6/27/2022,LC,L,Pipiens,1,0,55.55,0,NE,40.62556,-105.05009
CSU17426,FC-036,2022,26,6/27/2022,LC,L,Tarsalis,2,0,55.55,0,NW,40.600766,-105.079837
CSU17427,FC-006,2022,26,6/27/2022,LC,L,Tarsalis,2,0,55.55,0,NE,40.592328,-105.066295
CSU17429,FC-072,2022,26,6/27/2022,LC,L,Tarsalis,14,0,55.55,0,NE,40.56953,-105.07117
CSU17430,FC-072,2022,26,6/27/2022,LC,L,Pipiens,4,0,55.55,0,NE,40.56953,-105.07117
CSU17431,FC-019,2022,26,6/27/2022,LC,L,Tarsalis,7,0,55.55,0,NE,40.565586,-105.05203
CSU17432,FC-019,2022,26,6/27/2022,LC,L,Pipiens,3,0,55.55,0,NE,40.565586,-105.05203
CSU17433,FC-014,2022,26,6/27/2022,LC,L,Tarsalis,5,0,55.55,0,NE,40.56359,-105.006562
CSU17434,FC-066,2022,26,6/27/2022,LC,L,Tarsalis,10,0,55.55,0,NE,40.55873,-105.02318
CSU17435,FC-066,2022,26,6/27/2022,LC,L,Pipiens,21,0,55.55,0,NE,40.55873,-105.02318
CSU17436,FC-067,2022,26,6/27/2022,LC,L,Tarsalis,6,0,55.55,0,NE,40.57881,-105.05592
CSU17437,FC-067,2022,26,6/27/2022,LC,L,Pipiens,1,0,55.55,0,NE,40.57881,-105.05592
CSU17438,LV-104,2022,26,6/28/2022,LC,L,Tarsalis,50,0,55.55,0,LV,40.396854,-105.020915
CSU17439,LV-104,2022,26,6/28/2022,LC,L,Tarsalis,9,0,55.55,0,LV,40.396854,-105.020915
CSU17440,LV-104,2022,26,6/28/2022,LC,L,Pipiens,10,0,55.55,0,LV,40.396854,-105.020915
CSU17441,LV-089,2022,26,6/28/2022,LC,L,Tarsalis,50,0,55.55,0,LV,40.400251,-105.042395
CSU17442,LV-089,2022,26,6/28/2022,LC,L,Tarsalis,50,0,55.55,0,LV,40.400251,-105.042395
CSU17443,LV-089,2022,26,6/28/2022,LC,L,Tarsalis,44,0,55.55,0,LV,40.400251,-105.042395
CSU17444,LV-089,2022,26,6/28/2022,LC,L,Pipiens,13,0,55.55,0,LV,40.400251,-105.042395
CSU17445,LV-110,2022,26,6/28/2022,LC,L,Tarsalis,6,0,55.55,0,LV,40.400764,-105.122681
CSU17446,LV-110,2022,26,6/28/2022,LC,L,Pipiens,1,0,55.55,0,LV,40.400764,-105.122681
CSU17447,FC-039,2022,26,6/28/2022,LC,L,Tarsalis,8,0,55.55,0,SE,40.48081,-105.03934
CSU17448,FC-064,2022,26,6/28/2022,LC,L,Tarsalis,44,0,55.55,0,SE,40.49868,-105.0298
CSU17449,FC-075,2022,26,6/28/2022,LC,L,Tarsalis,50,0,55.55,0,SE,40.51138,-105.01987
CSU17450,FC-075,2022,26,6/28/2022,LC,L,Tarsalis,8,0,55.55,0,SE,40.51138,-105.01987
CSU17451,FC-074,2022,26,6/28/2022,LC,L,Tarsalis,50,0,55.55,0,SE,40.51432,-105.00249
CSU17452,FC-074,2022,26,6/28/2022,LC,L,Tarsalis,16,0,55.55,0,SE,40.51432,-105.00249
CSU17453,FC-074,2022,26,6/28/2022,LC,L,Pipiens,3,0,55.55,0,SE,40.51432,-105.00249
CSU17455,FC-053,2022,26,6/28/2022,LC,L,Tarsalis,50,0,55.55,0,SE,40.49942,-105.01183
CSU17456,FC-053,2022,26,6/28/2022,LC,L,Pipiens,40,0,55.55,0,SE,40.49942,-105.01183
CSU17457,FC-053,2022,26,6/28/2022,LC,L,Pipiens,1,0,55.55,0,SE,40.49942,-105.01183
CSU17459,FC-004,2022,26,6/28/2022,LC,L,Tarsalis,22,0,55.55,0,SE,40.53486,-105.03733
CSU17460,FC-004,2022,26,6/28/2022,LC,L,Pipiens,1,0,55.55,0,SE,40.53486,-105.03733
CSU17461,FC-023,2022,26,6/28/2022,LC,L,Tarsalis,5,0,55.55,0,SE,40.54466,-105.0641
CSU17462,FC-027,2022,26,6/28/2022,LC,L,Tarsalis,22,0,55.55,0,SE,40.54651,-105.03359
CSU17463,FC-027,2022,26,6/28/2022,LC,L,Pipiens,1,0,55.55,0,SE,40.54651,-105.03359
CSU17464,FC-059,2022,26,6/28/2022,LC,L,Tarsalis,15,0,55.55,0,SE,40.5426,-105.04604
CSU17465,FC-059,2022,26,6/28/2022,LC,L,Pipiens,1,0,55.55,0,SE,40.5426,-105.04604
CSU17466,FC-050,2022,26,6/28/2022,LC,L,Tarsalis,14,0,55.55,0,SE,40.52954,-105.05033
CSU17467,FC-046,2022,26,6/28/2022,LC,L,Tarsalis,9,0,55.55,0,SE,40.52983,-105.06484
CSU17468,FC-046,2022,26,6/28/2022,LC,L,Pipiens,2,0,55.55,0,SE,40.52983,-105.06484
CSU17469,FC-047,2022,26,6/28/2022,LC,L,Tarsalis,14,0,55.55,0,SE,40.51551,-105.05292
CSU17470,FC-031,2022,26,6/28/2022,LC,L,Tarsalis,22,0,55.55,0,SE,40.50609,-105.03942
CSU17473,FC-073,2022,26,6/29/2022,LC,L,Tarsalis,8,0,32.48864,0,NW,40.58605,-105.08889
CSU17471,FC-052,2022,26,6/29/2022,LC,L,Tarsalis,3,0,55.55,0,NW,40.56163,-105.08703
CSU17472,FC-052,2022,26,6/29/2022,LC,L,Pipiens,2,0,55.55,0,NW,40.56163,-105.08703
CSU17474,FC-073,2022,26,6/29/2022,LC,L,Pipiens,21,0,55.55,0,NW,40.58605,-105.08889
CSU17475,FC-061,2022,26,6/29/2022,LC,L,Tarsalis,6,0,55.55,0,NW,40.5688,-105.09165
CSU17476,LC-054,2022,26,6/29/2022,LC,L,Tarsalis,50,0,55.55,0,BE,40.343955,-105.102766
CSU17477,LC-054,2022,26,6/29/2022,LC,L,Tarsalis,4,0,55.55,0,BE,40.343955,-105.102766
CSU17478,LV-020,2022,26,6/29/2022,LC,L,Tarsalis,50,0,55.55,0,LV,40.373964,-105.11349
CSU17479,LV-020,2022,26,6/29/2022,LC,L,Tarsalis,39,0,55.55,0,LV,40.373964,-105.11349
CSU17480,WC-055,2022,26,6/29/2022,LC,L,Tarsalis,1,0,55.55,0,BE,40.28918345,-104.9915449
CSU17481,LC-001,2022,26,6/29/2022,LC,L,Tarsalis,50,0,55.55,0,BE,40.302587,-105.084057
CSU17482,LC-001,2022,26,6/29/2022,LC,L,Tarsalis,50,0,55.55,0,BE,40.302587,-105.084057
CSU17483,LC-001,2022,26,6/29/2022,LC,L,Tarsalis,31,0,55.55,0,BE,40.302587,-105.084057
CSU17484,LC-001,2022,26,6/29/2022,LC,L,Pipiens,11,0,55.55,0,BE,40.302587,-105.084057
CSU17485,LC-053,2022,26,6/29/2022,LC,L,Tarsalis,42,0,55.55,0,BE,40.320553,-105.094569
CSU17486,LC-049,2022,26,6/29/2022,LC,L,Tarsalis,10,0,55.55,0,BE,40.312995,-105.078728
CSU17487,FC-041,2022,26,6/29/2022,LC,L,Tarsalis,6,0,55.55,0,NW,40.58794,-105.10486
CSU17488,FC-041,2022,26,6/29/2022,LC,L,Pipiens,5,0,55.55,0,NW,40.58794,-105.10486
CSU17490,FC-060,2022,26,6/29/2022,LC,L,Tarsalis,1,0,55.55,0,SW,40.5487,-105.12019
CSU17492,FC-015,2022,26,6/29/2022,LC,L,Tarsalis,2,0,55.55,0,NW,40.5598,-105.12409
CSU17493,FC-011,2022,26,6/29/2022,LC,L,Tarsalis,3,0,55.55,0,NW,40.56948,-105.13603
